test,io_time_Commit,io_time_MPI-IO,io_time_POSIX,io_time_Session,match_mpi_calls_Commit,match_mpi_calls_MPI-IO,match_mpi_calls_POSIX,match_mpi_calls_Session,mpi_edges_Commit,mpi_edges_MPI-IO,mpi_edges_POSIX,mpi_edges_Session,build_happens-before_graph_Commit,build_happens-before_graph_MPI-IO,build_happens-before_graph_POSIX,build_happens-before_graph_Session,nodes_Commit,nodes_MPI-IO,nodes_POSIX,nodes_Session,run_the_algorithm_Commit,run_the_algorithm_MPI-IO,run_the_algorithm_POSIX,run_the_algorithm_Session,verification_time_Commit,verification_time_MPI-IO,verification_time_POSIX,verification_time_Session,total_semantic_violation_Commit,total_semantic_violation_MPI-IO,total_semantic_violation_POSIX,total_semantic_violation_Session,total_conflict_pairs
mpi_parallel-131541,0.009,0.005,0.009,0.005,0.000,0.000,0.000,0.000,4,4,4,4,0.001,0.001,0.001,0.001,50,50,50,50,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
nc4perf-132545,58.678,57.675,58.901,57.733,1.801,1.792,1.799,1.822,7884,7884,7884,7884,8.740,8.747,8.735,8.687,814320,814320,814320,814320,3.379,3.361,3.418,3.371,3120,7506,167,9180,559961,560321,0,560321,98467560
parallel-131638,0.012,0.008,0.011,0.007,0.004,0.004,0.004,0.004,61,61,61,61,0.007,0.007,0.007,0.007,601,601,601,601,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,152
parallel2-131076,0.009,0.006,0.009,0.005,0.001,0.001,0.001,0.001,44,44,44,44,0.002,0.002,0.002,0.002,199,199,199,199,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,6
parallel3-131738,0.240,0.165,0.210,0.164,0.235,0.235,0.234,0.233,818,818,818,818,1.172,1.171,1.166,1.168,28964,28964,28964,28964,0.167,0.169,0.165,0.166,0,0,0,0,356,362,0,362,15384
parallel4(2)-132059,0.063,0.033,0.040,0.033,0.021,0.021,0.022,0.021,49,49,49,49,0.008,0.008,0.008,0.008,1771,1771,1771,1771,0.005,0.005,0.005,0.005,0,0,0,0,512,512,0,512,1038
parallel4(4)-132150,0.040,0.034,0.041,0.034,0.023,0.023,0.023,0.023,49,49,49,49,0.014,0.015,0.014,0.015,2758,2758,2758,2758,0.008,0.008,0.008,0.008,0,0,0,0,768,768,0,768,1550
parallel4(6)-132261,0.045,0.039,0.046,0.039,0.027,0.027,0.027,0.027,49,49,49,49,0.036,0.038,0.037,0.037,3584,3584,3584,3584,0.012,0.012,0.012,0.012,0,0,0,0,896,896,0,896,1811
parallel5-132435,0.022,0.017,0.023,0.017,0.024,0.024,0.024,0.024,397,397,397,397,0.043,0.043,0.043,0.043,3719,3719,3719,3719,0.013,0.013,0.013,0.013,0,0,0,0,9,13,6,9,992
parallel6-133422,0.005,0.009,0.010,0.009,0.002,0.002,0.002,0.002,40,40,40,40,0.004,0.004,0.004,0.004,354,354,354,354,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,3
parallel_compress-133211,0.035,0.040,0.040,0.039,0.075,0.074,0.075,0.074,1112,1112,1112,1112,0.120,0.120,0.119,0.119,10654,10654,10654,10654,0.038,0.039,0.038,0.038,0,0,0,0,0,0,0,0,2619
parallel_zlib-133110,0.008,0.012,0.012,0.012,0.010,0.010,0.010,0.010,156,156,156,156,0.015,0.015,0.015,0.015,1508,1508,1508,1508,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,29
quantize_par-133321,0.007,0.011,0.011,0.011,0.004,0.004,0.004,0.004,49,49,49,49,0.005,0.005,0.005,0.005,472,472,472,472,0.002,0.002,0.002,0.002,0,0,0,0,6,6,0,6,43
simplerw_coll_r-132859,0.092,0.143,0.123,0.103,0.089,0.089,0.090,0.089,1674,1674,1674,1674,0.098,0.097,0.097,0.097,15163,15163,15163,15163,0.047,0.047,0.046,0.047,0,0,0,0,2816,2816,0,2816,12047
simplerw_coll_r-132973,0.134,0.183,0.147,0.146,0.163,0.162,0.163,0.163,1674,1674,1674,1674,0.241,0.239,0.238,0.239,23339,23339,23339,23339,0.083,0.082,0.084,0.084,0,0,0,0,4224,4224,0,4224,18064
h_par-130180,0.012,0.008,0.014,0.009,0.008,0.008,0.008,0.008,183,183,183,183,0.019,0.019,0.019,0.019,1501,1501,1501,1501,0.005,0.006,0.005,0.005,0,0,0,0,0,0,0,0,22
h_par_compress-130308,0.015,0.011,0.014,0.010,0.021,0.021,0.021,0.021,418,418,418,418,0.046,0.045,0.045,0.045,3902,3902,3902,3902,0.014,0.013,0.013,0.014,0,0,0,0,0,0,0,0,33
